name,date,rank,diff
마기아 : 카르마 사가,2019_11_04,101,0
마기아 : 카르마 사가,2019_11_05,101,0
마기아 : 카르마 사가,2019_11_06,101,0
마기아 : 카르마 사가,2019_11_07,101,0
마기아 : 카르마 사가,2019_11_08,101,0
마기아 : 카르마 사가,2019_11_09,101,0
마기아 : 카르마 사가,2019_11_10,101,93
마기아 : 카르마 사가,2019_11_11,8,2
마기아 : 카르마 사가,2019_11_12,10,2
마기아 : 카르마 사가,2019_11_13,8,1
마기아 : 카르마 사가,2019_11_14,7,0
마기아 : 카르마 사가,2019_11_15,7,37
마기아 : 카르마 사가,2019_11_16,44,31
마기아 : 카르마 사가,2019_11_17,75,26
마기아 : 카르마 사가,2019_11_18,101,0
마기아 : 카르마 사가,2019_11_19,101,0
마기아 : 카르마 사가,2019_11_20,101,0
마기아 : 카르마 사가,2019_11_21,101,0
마기아 : 카르마 사가,2019_11_22,101,0
마기아 : 카르마 사가,2019_11_23,101,0
마기아 : 카르마 사가,2019_11_24,101,0
마기아 : 카르마 사가,2019_11_25,101,0
마기아 : 카르마 사가,2019_11_26,101,0
마기아 : 카르마 사가,2019_11_27,101,0
마기아 : 카르마 사가,2019_11_28,101,84
마기아 : 카르마 사가,2019_11_29,17,0
Pocket World 3D,2019_10_22,101,0
Pocket World 3D,2019_10_23,101,0
Pocket World 3D,2019_10_24,101,0
Pocket World 3D,2019_10_25,101,0
Pocket World 3D,2019_10_26,101,0
Pocket World 3D,2019_10_27,101,0
Pocket World 3D,2019_10_28,101,0
Pocket World 3D,2019_10_29,101,0
Pocket World 3D,2019_10_30,101,0
Pocket World 3D,2019_10_31,101,0
Pocket World 3D,2019_11_01,101,0
Pocket World 3D,2019_11_02,101,0
Pocket World 3D,2019_11_03,101,0
Pocket World 3D,2019_11_04,101,0
Pocket World 3D,2019_11_05,101,0
Pocket World 3D,2019_11_06,101,0
Pocket World 3D,2019_11_07,101,0
Pocket World 3D,2019_11_08,101,0
Pocket World 3D,2019_11_09,101,0
Pocket World 3D,2019_11_10,101,0
Pocket World 3D,2019_11_11,101,0
Pocket World 3D,2019_11_12,101,0
Pocket World 3D,2019_11_13,101,0
Pocket World 3D,2019_11_14,101,0
Pocket World 3D,2019_11_15,101,0
Pocket World 3D,2019_11_16,101,0
Pocket World 3D,2019_11_17,101,12
Pocket World 3D,2019_11_18,89,70
Pocket World 3D,2019_11_19,19,0
Pocket World 3D,2019_11_20,19,10
Pocket World 3D,2019_11_21,29,1
Pocket World 3D,2019_11_22,30,12
Pocket World 3D,2019_11_23,18,12
Pocket World 3D,2019_11_24,6,0
Pocket World 3D,2019_11_25,6,0
Pocket World 3D,2019_11_26,6,1
